"E-8 City/County/State Population and Housing Estimates, 4/1/1990 to 4/1/2000",,,,,,,,,,,
,,------------POPULATION------------,,,---------------------------------- HOUSING UNITS ----------------------------------,,,,,,PERSONS PER HOUSEHOLD
COUNTY,DATE,TOTAL,HOUSE-HOLD,GROUP QUARTERS,TOTAL,SINGLE,MULTI-PLE,MOBILE HOMES,OCCU-PIED,VACANCY RATE,
,,,,,,,,,,,
Calfornia,4/1/1990,"6,145,288","5,929,012","216,276","2,342,648","1,746,229","320,970","275,448","2,074,994",11.43%,2.857
Balance of State,1/1/1991,"6,201,182","5,984,473","216,709","2,369,814","1,767,398","325,433","276,983","2,101,441",11.32%,2.848
,1/1/1992,"6,100,236","5,899,890","200,346","2,322,534","1,733,716","315,672","273,146","2,060,875",11.27%,2.863
,1/1/1993,"6,153,440","5,956,073","197,367","2,337,266","1,747,192","316,796","273,278","2,073,476",11.29%,2.873
,1/1/1994,"6,179,754","5,980,005","199,749","2,343,267","1,753,937","315,707","273,623","2,084,334",11.05%,2.869
,1/1/1995,"6,206,741","6,012,411","194,330","2,358,298","1,770,250","313,225","274,823","2,101,334",10.90%,2.861
,1/1/1996,"6,244,116","6,044,165","199,951","2,373,246","1,786,355","313,512","273,379","2,117,275",10.79%,2.855
,1/1/1997,"6,204,512","6,010,686","193,826","2,352,130","1,779,862","302,323","269,945","2,097,653",10.82%,2.865
,1/1/1998,"6,252,215","6,054,290","197,925","2,362,022","1,795,617","299,737","266,668","2,109,262",10.70%,2.870
,1/1/1999,"6,313,802","6,126,810","186,992","2,377,332","1,812,663","299,727","264,942","2,126,915",10.53%,2.881
,1/1/2000,"6,319,570","6,134,335","185,235","2,363,580","1,813,884","286,388","263,308","2,116,235",10.46%,2.899
,4/1/2000,"6,336,805","6,152,320","184,485","2,368,548","1,819,245","286,031","263,272","2,120,456",10.47%,2.901
,,,,,,,,,,,
California,4/1/1990,"23,612,925","23,078,317","534,608","8,839,865","5,184,452","3,375,567","279,846","8,305,862",6.04%,2.779
Incorporated,1/1/1991,"23,942,373","23,393,928","548,445","8,962,899","5,267,204","3,412,899","282,796","8,431,478",5.93%,2.775
,1/1/1992,"24,622,762","24,050,332","572,430","9,135,137","5,384,582","3,460,342","290,213","8,606,016",5.79%,2.795
,1/1/1993,"24,997,346","24,428,253","569,093","9,223,761","5,453,329","3,477,717","292,715","8,703,311",5.64%,2.807
,1/1/1994,"25,239,186","24,657,809","581,377","9,302,763","5,523,480","3,484,659","294,624","8,783,886",5.58%,2.807
,1/1/1995,"25,411,029","24,828,320","582,709","9,372,043","5,589,295","3,487,467","295,281","8,860,901",5.45%,2.802
,1/1/1996,"25,593,283","25,002,538","590,745","9,431,863","5,646,235","3,489,370","296,258","8,930,822",5.31%,2.800
,1/1/1997,"26,003,357","25,396,089","607,268","9,530,316","5,729,948","3,500,973","299,395","9,037,991",5.17%,2.810
,1/1/1998,"26,405,662","25,797,350","608,312","9,604,881","5,796,392","3,505,884","302,605","9,120,598",5.04%,2.828
,1/1/1999,"26,826,969","26,198,339","628,630","9,687,401","5,869,896","3,513,051","304,454","9,214,087",4.89%,2.843
,1/1/2000,"27,402,013","26,767,310","634,703","9,822,545","5,975,733","3,540,886","305,926","9,357,185",4.74%,2.861
,4/1/2000,"27,536,281","26,899,576","636,705","9,846,002","5,995,790","3,543,796","306,416","9,382,415",4.71%,2.867
,,,,,,,,,,,
California,4/1/1990,"29,758,213","29,007,329","750,884","11,182,513","6,930,681","3,696,537","555,294","10,380,856",7.17%,2.794
State Total,1/1/1991,"30,143,555","29,378,401","765,154","11,332,713","7,034,602","3,738,332","559,779","10,532,919",7.06%,2.789
,1/1/1992,"30,722,998","29,950,222","772,776","11,457,671","7,118,298","3,776,014","563,359","10,666,891",6.90%,2.808
,1/1/1993,"31,150,786","30,384,326","766,460","11,561,027","7,200,521","3,794,513","565,993","10,776,787",6.78%,2.819
,1/1/1994,"31,418,940","30,637,814","781,126","11,646,030","7,277,417","3,800,366","568,247","10,868,220",6.68%,2.819
,1/1/1995,"31,617,770","30,840,731","777,039","11,730,341","7,359,545","3,800,692","570,104","10,962,235",6.55%,2.813
,1/1/1996,"31,837,399","31,046,703","790,696","11,805,109","7,432,590","3,802,882","569,637","11,048,097",6.41%,2.810
,1/1/1997,"32,207,869","31,406,775","801,094","11,882,446","7,509,810","3,803,296","569,340","11,135,644",6.28%,2.820
,1/1/1998,"32,657,877","31,851,640","806,237","11,966,903","7,592,009","3,805,621","569,273","11,229,860",6.16%,2.836
,1/1/1999,"33,140,771","32,325,149","815,622","12,064,733","7,682,559","3,812,778","569,396","11,341,002",6.00%,2.850
,1/1/2000,"33,721,583","32,901,645","819,938","12,186,125","7,789,617","3,827,274","569,234","11,473,420",5.85%,2.868
