"E-8 City/County/State Population and Housing Estimates, 4/1/2000 to 4/1/2010",,,,,,,,,,,,
,,POPULATION,,, HOUSING UNITS,,,,,,,
County / City,Date,Total,Household,Group Quarters,Total,Single,Multiple,Mobile Homes,Occupied,Vacant Units,Vacancy Rate,Persons Per Household
Calfornia,4/1/2000,"6,336,805","6,152,320","184,485","2,368,548","1,819,245","286,031","263,272","2,120,456","248,092",10.47%,2.901
Balance of State,1/1/2001,"6,293,712","6,111,839","181,873","2,348,775","1,806,385","283,010","260,189","2,097,842","250,933",10.68%,2.913
,1/1/2002,"6,337,621","6,155,275","182,346","2,357,919","1,819,614","280,433","257,872","2,098,759","259,160",10.99%,2.933
,1/1/2003,"6,378,653","6,197,707","180,946","2,372,590","1,839,948","278,680","253,962","2,105,763","266,827",11.25%,2.943
,1/1/2004,"6,382,312","6,208,791","173,521","2,378,415","1,853,766","274,168","250,481","2,104,206","274,209",11.53%,2.951
,1/1/2005,"6,424,340","6,253,348","170,992","2,409,688","1,883,848","278,668","247,172","2,127,694","281,994",11.70%,2.939
,1/1/2006,"6,458,765","6,290,633","168,132","2,449,064","1,916,669","284,341","248,054","2,156,328","292,736",11.95%,2.917
,1/1/2007,"6,461,294","6,295,356","165,938","2,473,059","1,938,843","286,674","247,542","2,169,135","303,924",12.29%,2.902
,1/1/2008,"6,513,283","6,347,242","166,041","2,498,080","1,961,042","290,417","246,621","2,187,418","310,662",12.44%,2.902
,1/1/2009,"6,440,147","6,274,633","165,514","2,472,063","1,942,081","291,775","238,207","2,157,503","314,560",12.72%,2.908
,1/1/2010,"6,476,345","6,318,872","157,473","2,482,634","1,951,230","296,061","235,343","2,161,333","321,301",12.94%,2.924
,4/1/2010,"6,489,781","6,322,556","167,225","2,482,520","1,953,196","294,848","234,476","2,161,668","320,852",12.92%,2.925
,,,,,,,,,,,,
California,4/1/2000,"27,536,281","26,899,576","636,705","9,846,002","5,995,790","3,543,796","306,416","9,382,415","463,587",4.71%,2.867
Incorporated,1/1/2001,"27,963,077","27,322,586","640,491","9,963,982","6,092,304","3,563,886","307,792","9,478,435","485,547",4.87%,2.883
,1/1/2002,"28,387,895","27,749,178","638,717","10,103,423","6,201,023","3,594,425","307,975","9,586,272","517,151",5.12%,2.895
,1/1/2003,"28,784,956","28,140,663","644,293","10,246,623","6,304,328","3,632,218","310,077","9,697,520","549,103",5.36%,2.902
,1/1/2004,"29,188,535","28,538,076","650,459","10,407,249","6,426,771","3,668,082","312,396","9,824,788","582,461",5.60%,2.905
,1/1/2005,"29,444,833","28,790,483","654,350","10,568,836","6,542,775","3,710,760","315,301","9,949,874","618,962",5.86%,2.894
,1/1/2006,"29,657,437","28,995,106","662,331","10,734,788","6,664,796","3,753,842","316,150","10,083,398","651,390",6.07%,2.876
,1/1/2007,"29,938,382","29,269,291","669,091","10,891,101","6,780,343","3,793,404","317,354","10,204,267","686,834",6.31%,2.868
,1/1/2008,"30,191,092","29,522,816","668,276","11,005,754","6,850,058","3,838,119","317,577","10,290,705","715,049",6.50%,2.869
,1/1/2009,"30,526,566","29,864,248","662,318","11,126,738","6,930,720","3,872,779","323,239","10,378,857","747,881",6.72%,2.877
,1/1/2010,"30,747,555","30,090,436","657,119","11,186,442","6,965,465","3,897,789","323,188","10,410,167","776,275",6.94%,2.890
,4/1/2010,"30,764,175","30,089,867","674,308","11,187,784","6,972,299","3,892,287","323,198","10,406,499","781,285",6.98%,2.891
,,,,,,,,,,,,
California,4/1/2000,"33,873,086","33,051,896","821,190","12,214,550","7,815,035","3,829,827","569,688","11,502,871","711,679",5.83%,2.873
State Total,1/1/2001,"34,256,789","33,436,164","820,625","12,313,566","7,898,689","3,846,896","567,981","11,576,277","737,289",5.99%,2.888
,1/1/2002,"34,725,516","33,904,453","821,063","12,461,342","8,020,637","3,874,858","565,847","11,685,031","776,311",6.23%,2.902
,1/1/2003,"35,163,609","34,338,370","825,239","12,619,213","8,144,276","3,910,898","564,039","11,803,283","815,930",6.47%,2.909
,1/1/2004,"35,570,847","34,746,867","823,980","12,785,664","8,280,537","3,942,250","562,877","11,928,994","856,670",6.70%,2.913
,1/1/2005,"35,869,173","35,043,831","825,342","12,978,524","8,426,623","3,989,428","562,473","12,077,568","900,956",6.94%,2.902
,1/1/2006,"36,116,202","35,285,739","830,463","13,183,852","8,581,465","4,038,183","564,204","12,239,726","944,126",7.16%,2.883
,1/1/2007,"36,399,676","35,564,647","835,029","13,364,160","8,719,186","4,080,078","564,896","12,373,402","990,758",7.41%,2.874
,1/1/2008,"36,704,375","35,870,058","834,317","13,503,834","8,811,100","4,128,536","564,198","12,478,123","1,025,711",7.60%,2.875
,1/1/2009,"36,966,713","36,138,881","827,832","13,598,801","8,872,801","4,164,554","561,446","12,536,360","1,062,441",7.81%,2.883
,1/1/2010,"37,223,900","36,409,308","814,592","13,669,076","8,916,695","4,193,850","558,531","12,571,500","1,097,576",8.03%,2.896
,4/1/2010,"37,253,956","36,412,423","841,533","13,670,304","8,925,495","4,187,135","557,674","12,568,167","1,102,137",8.06%,2.897
,,,,,,,,,,,,
Alameda,4/1/2000,"72,259","71,182","1,077","31,644","16,719","14,625",300,"30,226","1,418",4.48%,2.355
Alameda,1/1/2001,"72,529","71,665",864,"31,868","16,862","14,719",287,"30,357","1,511",4.74%,2.361
,1/1/2002,"72,749","71,813",936,"31,919","16,879","14,770",270,"30,292","1,627",5.10%,2.371
,1/1/2003,"72,612","71,584","1,028","32,011","16,942","14,817",252,"30,166","1,845",5.76%,2.373
,1/1/2004,"71,980","70,908","1,072","31,524","16,436","14,853",235,"30,067","1,457",4.62%,2.358
,1/1/2005,"71,727","70,537","1,190","31,662","16,513","14,931",218,"30,086","1,576",4.98%,2.345
,1/1/2006,"71,558","70,312","1,246","31,791","16,630","14,960",201,"30,096","1,695",5.33%,2.336
,1/1/2007,"72,031","70,785","1,246","32,011","16,794","15,034",183,"30,195","1,816",5.67%,2.344
,1/1/2008,"72,598","71,275","1,323","32,164","16,933","15,065",166,"30,228","1,936",6.02%,2.358
,1/1/2009,"73,166","71,766","1,400","32,253","17,007","15,097",149,"30,199","2,054",6.37%,2.376
,1/1/2010,"73,717","72,240","1,477","32,342","17,042","15,169",131,"30,171","2,171",6.71%,2.394
,4/1/2010,"73,812","72,316","1,496","32,351","17,047","15,177",127,"30,123","2,228",6.89%,2.401
,,,,,,,,,,,,
Alameda,4/1/2000,"16,444","16,411",33,"7,248","3,958","3,284",6,"7,011",237,3.27%,2.341
Albany,1/1/2001,"16,692","16,655",37,"7,302","3,997","3,298",7,"7,048",254,3.48%,2.363
,1/1/2002,"16,924","16,882",42,"7,355","4,053","3,293",9,"7,078",277,3.77%,2.385
,1/1/2003,"17,096","17,049",47,"7,428","4,107","3,310",11,"7,128",300,4.04%,2.392
,1/1/2004,"17,233","17,180",53,"7,491","4,159","3,319",13,"7,169",322,4.30%,2.396
,1/1/2005,"16,889","16,831",58,"7,362","4,229","3,118",15,"7,024",338,4.59%,2.396
,1/1/2006,"17,015","16,952",63,"7,423","4,286","3,120",17,"7,063",360,4.85%,2.400
,1/1/2007,"17,332","17,264",68,"7,520","4,343","3,158",19,"7,136",384,5.11%,2.419
,1/1/2008,"17,298","17,225",73,"7,445","4,395","3,029",21,"7,043",402,5.40%,2.446
,1/1/2009,"18,196","18,117",79,"7,823","4,447","3,353",23,"7,363",460,5.88%,2.461
,1/1/2010,"18,481","18,397",84,"7,875","4,501","3,349",25,"7,393",482,6.12%,2.488
,4/1/2010,"18,539","15,377","3,162","6,712","4,442","2,245",25,"6,309",403,6.00%,2.437
,,,,,,,,,,,,
Alameda,4/1/2000,"102,743","96,921","5,822","46,875","21,854","24,962",59,"44,955","1,920",4.10%,2.156
Berkeley,1/1/2001,"103,695","97,365","6,330","46,978","21,936","24,971",71,"44,949","2,029",4.32%,2.166
,1/1/2002,"104,793","97,762","7,031","47,163","22,059","25,017",87,"44,988","2,175",4.61%,2.173
,1/1/2003,"105,139","97,600","7,539","47,381","22,174","25,104",103,"45,058","2,323",4.90%,2.166
,1/1/2004,"105,611","97,388","8,223","47,610","22,290","25,201",119,"45,139","2,471",5.19%,2.158
,1/1/2005,"105,880","97,048","8,832","47,980","22,400","25,445",135,"45,311","2,669",5.56%,2.142
,1/1/2006,"107,398","97,128","10,270","48,393","22,509","25,734",150,"45,598","2,795",5.78%,2.130
,1/1/2007,"108,721","97,629","11,092","48,672","22,619","25,887",166,"45,726","2,946",6.05%,2.135
,1/1/2008,"109,762","98,248","11,514","49,039","22,731","26,126",182,"45,897","3,142",6.41%,2.141
,1/1/2009,"110,982","98,983","11,999","49,280","22,845","26,237",198,"46,011","3,269",6.63%,2.151
,1/1/2010,"112,363","99,670","12,693","49,422","22,958","26,250",214,"46,033","3,389",6.86%,2.165
,4/1/2010,"112,580","99,731","12,849","49,454","22,984","26,252",218,"46,029","3,425",6.93%,2.167
,,,,,,,,,,,,
Alameda,4/1/2000,"30,023","24,731","5,292","9,895","7,117","2,751",27,"9,348",547,5.53%,2.646
Dublin,1/1/2001,"32,437","27,201","5,236","10,633","7,760","2,844",29,"10,234",399,3.75%,2.658
,1/1/2002,"33,514","28,141","5,373","11,015","8,199","2,784",32,"10,547",468,4.25%,2.668
,1/1/2003,"35,229","29,860","5,369","11,750","8,590","3,126",34,"11,226",524,4.46%,2.660
,1/1/2004,"36,991","31,679","5,312","12,535","8,932","3,565",38,"11,952",583,4.65%,2.651
,1/1/2005,"38,147","32,837","5,310","13,105","9,260","3,805",40,"12,470",635,4.85%,2.633
,1/1/2006,"39,868","34,295","5,573","13,766","9,586","4,137",43,"13,076",690,5.01%,2.623
,1/1/2007,"41,309","35,579","5,730","14,258","9,790","4,422",46,"13,521",737,5.17%,2.631
,1/1/2008,"44,321","38,587","5,734","15,280","10,022","5,210",48,"14,498",782,5.12%,2.662
,1/1/2009,"45,104","39,603","5,501","15,630","10,231","5,348",51,"14,806",824,5.27%,2.675
,1/1/2010,"45,681","40,143","5,538","15,752","10,420","5,279",53,"14,892",860,5.46%,2.696
,4/1/2010,"46,036","40,262","5,774","15,782","10,483","5,245",54,"14,913",869,5.51%,2.700
,,,,,,,,,,,,
Alameda,4/1/2000,"6,882","6,815",67,"4,274",542,"3,695",37,"3,975",299,7.00%,1.714
Emeryville,1/1/2001,"7,186","7,119",67,"4,477",553,"3,887",37,"4,127",350,7.82%,1.725
,1/1/2002,"7,181","7,113",68,"4,505",571,"3,897",37,"4,104",401,8.90%,1.733
,1/1/2003,"7,376","7,307",69,"4,685",640,"4,008",37,"4,223",462,9.86%,1.730
,1/1/2004,"7,483","7,414",69,"4,816",656,"4,123",37,"4,296",520,10.80%,1.726
,1/1/2005,"7,998","7,928",70,"5,216",671,"4,508",37,"4,619",597,11.45%,1.716
,1/1/2006,"8,248","8,178",70,"5,440",686,"4,718",36,"4,779",661,12.15%,1.711
,1/1/2007,"8,818","8,747",71,"5,830",701,"5,093",36,"5,093",737,12.64%,1.717
,1/1/2008,"9,362","9,290",72,"6,186",784,"5,366",36,"5,376",810,13.09%,1.728
,1/1/2009,"9,702","9,630",72,"6,400",803,"5,561",36,"5,526",874,13.66%,1.743
,1/1/2010,"9,795","9,722",73,"6,462",817,"5,609",36,"5,534",928,14.36%,1.757
,4/1/2010,"10,080","10,007",73,"6,646",821,"5,789",36,"5,694",952,14.32%,1.757
,,,,,,,,,,,,
Alameda,4/1/2000,"203,413","201,654","1,759","69,452","48,703","19,993",756,"68,237","1,215",1.75%,2.955
Fremont,1/1/2001,"206,040","204,289","1,751","70,142","49,216","20,172",754,"68,788","1,354",1.93%,2.970
,1/1/2002,"207,639","205,899","1,740","70,626","49,646","20,229",751,"69,094","1,532",2.17%,2.980
,1/1/2003,"207,481","205,752","1,729","70,962","50,070","20,144",748,"69,255","1,707",2.41%,2.971
