"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2012",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
Alameda County,,,,,,,,,,,,
Alameda             ,"75,272","73,674","1,598","32,429","13,778","3,347","5,826","9,351",127,"30,156",7.0%,2.44
Albany              ,"18,628","15,698","2,930","6,717","4,223",220,817,"1,432",25,"6,329",5.8%,2.48
Berkeley            ,"115,515","102,179","13,336","49,774","20,929","2,060","9,993","16,574",218,"46,342",6.9%,2.21
Dublin              ,"47,249","42,847","4,402","16,431","8,966","1,960",528,"4,923",54,"15,596",5.1%,2.75
Emeryville          ,"10,426","10,353",73,"6,652",421,401,751,"5,043",36,"5,789",13.0%,1.79
Fremont             ,"219,617","217,966","1,651","74,425","43,545","9,939","2,435","17,780",726,"71,590",3.8%,3.05
Hayward             ,"148,675","145,697","2,978","48,671","25,329","4,356","2,935","13,729","2,322","45,914",5.7%,3.17
Livermore           ,"82,948","82,438",510,"30,545","21,610","2,555","1,495","4,345",540,"29,335",4.0%,2.81
Newark              ,"43,363","43,218",145,"13,414","9,522","1,342",569,"1,981",0,"12,984",3.2%,3.33
Oakland             ,"401,139","393,354","7,785","170,037","74,080","6,847","32,609","55,946",555,"155,381",8.6%,2.53
Piedmont            ,"10,903","10,900",3,"3,932","3,714",48,91,79,0,"3,818",2.9%,2.86
Pleasanton          ,"71,635","71,179",456,"26,132","16,787","2,615","1,612","4,738",380,"25,287",3.2%,2.82
San Leandro         ,"86,769","86,119",650,"32,485","19,463","1,959","1,893","8,280",890,"30,837",5.1%,2.79
Union City          ,"71,074","70,556",518,"21,370","13,644","2,845",784,"3,100",997,"20,532",3.9%,3.44
,,,,,,,,,,, ,
Balance Of County    ,"143,779","141,410","2,369","51,035","34,480","4,126","3,118","8,346",965,"48,539",4.9%,2.91
Incorporated,"1,403,213","1,366,178","37,035","533,014","276,011","40,494","62,338","147,301","6,870","499,890",6.2%,2.73
 ,,,,,,,,,,, ,
County Total,"1,546,992","1,507,588","39,404","584,049","310,491","44,620","65,456","155,647","7,835","548,429",6.1%,2.75
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Alpine County,,,,,,,,,,, ,
County Total,"1,168","1,144",24,"1,763","1,042",12,45,631,33,487,72.4%,2.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Amador County,,,,,,,,,,, ,
Amador              ,182,182,0,108,90,12,6,0,0,85,21.3%,2.14
Ione                ,"7,250","3,806","3,444","1,686","1,498",31,0,104,53,"1,512",10.3%,2.52
Jackson             ,"4,606","4,379",227,"2,312","1,430",134,288,252,208,"2,075",10.3%,2.11
Plymouth            ,988,979,9,492,275,30,23,25,139,402,18.3%,2.44
Sutter Creek        ,"2,454","2,453",1,"1,372",802,81,136,243,110,"1,165",15.1%,2.11
,,,,,,,,,,, ,
Balance Of County    ,"21,513","21,355",158,"12,141","10,738",270,159,66,908,"9,376",22.8%,2.28
Incorporated,"15,480","11,799","3,681","5,970","4,095",288,453,624,510,"5,239",12.2%,2.25
 ,,,,,,,,,,, ,
County Total,"36,993","33,154","3,839","18,111","14,833",558,612,690,"1,418","14,615",19.3%,2.27
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Butte County,,,,,,,,,,, ,
Biggs               ,"1,704","1,704",0,615,559,35,0,4,17,565,8.1%,3.02
Chico               ,"87,895","84,397","3,498","37,605","19,971","1,648","5,958","8,073","1,955","35,450",5.7%,2.38
Gridley             ,"6,609","6,497",112,"2,410","1,986",133,171,42,78,"2,196",8.9%,2.96
Oroville            ,"15,544","14,619",925,"6,202","3,632",221,782,"1,187",380,"5,639",9.1%,2.59
Paradise            ,"26,129","25,721",408,"12,984","9,002",341,"1,114",386,"2,141","11,872",8.6%,2.17
,,,,,,,,,,, ,
Balance Of County    ,"84,035","83,675",360,"36,711","25,112",689,880,444,"9,586","32,692",10.9%,2.56
Incorporated,"137,881","132,938","4,943","59,816","35,150","2,378","8,025","9,692","4,571","55,722",6.8%,2.39
 ,,,,,,,,,,, ,
County Total,"221,916","216,613","5,303","96,527","60,262","3,067","8,905","10,136","14,157","88,414",8.4%,2.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Calaveras County,,,,,,,,,,, ,
Angels City,"3,835","3,788",47,"1,945","1,395",71,129,120,230,"1,654",15.0%,2.29
,,,,,,,,,,, ,
Balance Of County    ,"41,653","41,216",437,"26,183","23,133",294,541,272,"1,943","17,317",33.9%,2.38
Incorporated,"3,835","3,788",47,"1,945","1,395",71,129,120,230,"1,654",15.0%,2.29
 ,,,,,,,,,,, ,
County Total,"45,488","45,004",484,"28,128","24,528",365,670,392,"2,173","18,971",32.6%,2.37
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Colusa County,,,,,,,,,,, ,
Colusa              ,"6,039","5,963",76,"2,287","1,615",77,321,154,120,"2,156",5.7%,2.77
Williams            ,"5,212","5,103",109,"1,512","1,128",19,142,162,61,"1,391",8.0%,3.67
,,,,,,,,,,, ,
Balance Of County    ,"10,333","10,272",61,"4,111","3,119",19,276,107,590,"3,542",13.8%,2.90
Incorporated,"11,251","11,066",185,"3,799","2,743",96,463,316,181,"3,547",6.6%,3.12
