"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2019",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,,,
Alameda County,,,,,,,,,,,,,,,,
Alameda             ,"79,316","77,791","1,525","33,120","13,996","3,406","5,983","9,608",127,"30,742",7.2%,2.53,,,,
Albany              ,"19,393","16,821","2,572","6,947","4,261",235,819,"1,607",25,"6,552",5.7%,2.57,,,,
Berkeley            ,"123,328","108,642","14,686","51,179","21,042","2,095","10,031","17,793",218,"47,604",7.0%,2.28,,,,
Dublin              ,"64,577","61,091","3,486","22,950","12,304","3,187",685,"6,720",54,"21,502",6.3%,2.84,,,,
Emeryville          ,"11,885","11,812",73,"7,176",418,401,755,"5,566",36,"6,381",11.1%,1.85,,,,
Fremont             ,"232,532","230,881","1,651","76,681","44,624","10,183","2,500","18,648",726,"73,263",4.5%,3.15,,,,
Hayward             ,"159,433","156,119","3,314","50,084","26,006","4,941","2,935","13,880","2,322","47,532",5.1%,3.29,,,,
Livermore           ,"91,039","90,529",510,"32,425","22,450","3,002","1,594","4,837",542,"31,124",4.0%,2.91,,,,
Newark              ,"48,712","48,567",145,"14,604","10,107","1,381",657,"2,459",0,"14,098",3.5%,3.45,,,,
Oakland             ,"432,897","425,129","7,768","172,740","74,396","7,007","32,700","58,082",555,"162,246",6.1%,2.62,,,,
Piedmont            ,"11,420","11,417",3,"3,966","3,723",69,95,79,0,"3,863",2.6%,2.96,,,,
Pleasanton          ,"80,492","79,928",564,"28,404","17,179","2,742","1,592","6,511",380,"27,433",3.4%,2.91,,,,
San Leandro         ,"89,825","89,175",650,"32,606","19,468","1,988","1,895","8,365",890,"30,851",5.4%,2.89,,,,
Union City          ,"74,916","74,398",518,"21,745","13,696","2,847",786,"3,400","1,016","20,917",3.8%,3.56,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"149,536","147,180","2,356","51,350","34,507","4,136","3,208","8,531",968,"48,810",4.9%,3.02,,,,
Incorporated,"1,519,765","1,482,300","37,465","554,627","283,670","43,484","63,027","157,555","6,891","524,108",5.5%,2.83,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"1,669,301","1,629,480","39,821","605,977","318,177","47,620","66,235","166,086","7,859","572,918",5.5%,2.84,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Alpine County,,,,,,,,,,, ,,,,,
County Total,"1,162","1,138",24,"1,783","1,055",18,45,631,34,524,70.6%,2.17,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Amador County,,,,,,,,,,, ,,,,,
Amador              ,188,188,0,110,92,12,6,0,0,85,22.7%,2.21,,,,
Ione                ,"7,991","4,016","3,975","1,759","1,571",31,0,104,53,"1,578",10.3%,2.55,,,,
Jackson             ,"4,770","4,544",226,"2,351","1,469",134,288,252,208,"2,129",9.4%,2.13,,,,
Plymouth            ,"1,012","1,003",9,499,289,30,16,25,139,408,18.2%,2.46,,,,
Sutter Creek        ,"2,559","2,558",1,"1,402",803,94,140,254,111,"1,201",14.3%,2.13,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"21,774","21,623",151,"12,157","10,750",270,159,66,912,"9,380",22.8%,2.31,,,,
Incorporated,"16,520","12,309","4,211","6,121","4,224",301,450,635,511,"5,401",11.8%,2.28,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"38,294","33,932","4,362","18,278","14,974",571,609,701,"1,423","14,781",19.1%,2.30,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Butte County,,,,,,,,,,, ,,,,,
Biggs               ,"2,066","2,066",0,695,639,35,0,4,17,660,5.0%,3.13,,,,
Chico               ,"112,111","108,481","3,630","40,378","21,534","1,648","6,062","9,126","2,008","38,360",5.0%,2.83,,,,
Gridley             ,"7,224","7,112",112,"2,526","2,043",135,171,99,78,"2,317",8.3%,3.07,,,,
Oroville            ,"21,773","20,905",868,"7,337","3,893",802,845,"1,298",499,"6,970",5.0%,3.00,,,,
Paradise            ,"4,590","4,590",0,"1,720","1,178",26,378,138,0,"1,634",5.0%,2.81,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"78,702","78,342",360,"32,791","23,329",142,795,378,"8,147","29,511",10.0%,2.66,,,,
Incorporated,"147,764","143,154","4,610","52,656","29,287","2,646","7,456","10,665","2,602","49,941",5.2%,2.87,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"226,466","221,496","4,970","85,447","52,616","2,788","8,251","11,043","10,749","79,452",7.0%,2.79,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Calaveras County,,,,,,,,,,, ,,,,,
Angels City,"3,840","3,793",47,"1,991","1,441",71,129,120,230,"1,681",15.6%,2.26,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"41,277","40,817",460,"26,219","23,064",295,547,272,"2,041","17,421",33.6%,2.34,,,,
Incorporated,"3,840","3,793",47,"1,991","1,441",71,129,120,230,"1,681",15.6%,2.26,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"45,117","44,610",507,"28,210","24,505",366,676,392,"2,271","19,102",32.3%,2.34,,,,
,,,,,,,,,,, ,,,,,
