"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2020",,,,,,,,,,,,,,,,,
,,               POPULATION             ,,,                                    HOUSING UNITS ,,,,,,,,,,,,
County,City,Total,Household,Group Quarters,Total2,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,,,
Alameda ,Alameda             ,"81,135","79,610","1,525","33,147","13,998","3,417","5,997","9,608",127,"31,934",3.7%,2.49,,,,
Alameda ,Albany              ,"18,871","16,299","2,572","6,969","4,275",235,827,"1,607",25,"6,444",7.5%,2.53,,,,
Alameda ,Berkeley            ,"122,364","107,678","14,686","51,523","21,106","2,096","10,075","18,028",218,"47,886",7.1%,2.25,,,,
Alameda ,Dublin              ,"65,161","61,342","3,819","23,567","12,644","3,334",757,"6,778",54,"22,014",6.6%,2.79,,,,
Alameda ,Emeryville          ,"12,448","12,375",73,"7,364",418,401,756,"5,753",36,"6,784",7.9%,1.82,,,,
Alameda ,Fremont             ,"233,132","231,481","1,651","77,309","44,700","10,192","2,584","19,107",726,"74,550",3.6%,3.11,,,,
Alameda ,Hayward             ,"159,266","156,084","3,182","50,396","26,169","5,088","2,937","13,880","2,322","48,231",4.3%,3.24,,,,
Alameda ,Livermore           ,"91,082","90,572",510,"32,728","22,519","3,154","1,604","4,909",542,"31,602",3.4%,2.87,,,,
Alameda ,Newark              ,"48,603","48,458",145,"14,917","10,385","1,414",659,"2,459",0,"14,334",3.9%,3.38,,,,
Alameda ,Oakland             ,"432,327","424,990","7,337","175,457","74,468","7,007","32,844","60,583",555,"165,092",5.9%,2.57,,,,
Alameda ,Piedmont            ,"11,297","11,294",3,"3,979","3,714",69,117,79,0,"3,880",2.5%,2.91,,,,
Alameda ,Pleasanton          ,"78,654","78,090",564,"28,508","17,253","2,752","1,598","6,525",380,"27,202",4.6%,2.87,,,,
Alameda ,San Leandro         ,"87,840","87,190",650,"32,621","19,469","1,988","1,909","8,365",890,"30,613",6.2%,2.85,,,,
Alameda ,Union City          ,"73,248","72,730",518,"21,839","13,711","2,847",804,"3,461","1,016","20,751",5.0%,3.51,,,,
Alameda ,Balance Of County    ,"147,686","145,323","2,363","51,428","34,524","4,136","3,263","8,537",968,"48,910",4.9%,2.97,,,,
Alameda ,Incorporated,"1,515,428","1,478,193","37,235","560,324","284,829","43,994","63,468","161,142","6,891","531,317",5.2%,2.78,,,,
Alameda ,County Total,"1,663,114","1,623,516","39,598","611,752","319,353","48,130","66,731","169,679","7,859","580,227",5.2%,2.80,,,,
Alpine ,County Total,"1,146","1,122",24,"1,788","1,060",18,45,631,34,478,73.3%,2.35,,,,
Amador ,Amador              ,154,154,0,110,92,12,6,0,0,76,30.9%,2.03,,,,
Amador ,Ione                ,"7,862","3,861","4,001","1,816","1,628",31,0,104,53,"1,612",11.2%,2.40,,,,
Amador ,Jackson             ,"4,655","4,424",231,"2,363","1,481",134,288,252,208,"2,194",7.2%,2.02,,,,
Amador ,Plymouth            ,955,946,9,500,290,30,16,25,139,409,18.2%,2.31,,,,
Amador ,Sutter Creek        ,"2,432","2,431",1,"1,403",803,94,140,254,112,"1,212",13.6%,2.01,,,,
Amador ,Balance Of County    ,"21,615","21,465",150,"12,154","10,746",270,159,66,913,"9,916",18.4%,2.17,,,,
Amador ,Incorporated,"16,058","11,816","4,242","6,192","4,294",301,450,635,512,"5,503",11.1%,2.15,,,,
Amador ,County Total,"37,673","33,281","4,392","18,346","15,040",571,609,701,"1,425","15,419",16.0%,2.16,,,,
Butte ,Biggs               ,"1,852","1,852",0,696,640,35,0,4,17,670,3.7%,2.76,,,,
Butte ,Chico               ,"110,364","106,643","3,721","41,738","22,365","1,648","6,345","9,302","2,078","39,490",5.4%,2.70,,,,
Butte ,Gridley             ,"6,515","6,403",112,"2,540","2,057",135,171,99,78,"2,361",7.0%,2.71,,,,
Butte ,Oroville            ,"18,888","17,995",893,"7,391","3,945",802,845,"1,298",501,"6,753",8.6%,2.67,,,,
Butte ,Paradise            ,"4,608","4,608",0,"1,766","1,205",26,382,138,15,"1,663",5.8%,2.77,,,,
Butte ,Balance Of County    ,"66,724","66,364",360,"31,991","22,834",142,576,318,"8,121","28,283",11.6%,2.35,,,,
Butte ,Incorporated,"142,227","137,501","4,726","54,131","30,212","2,646","7,743","10,841","2,689","50,937",5.9%,2.70,,,,
Butte ,County Total,"208,951","203,865","5,086","86,122","53,046","2,788","8,319","11,159","10,810","79,220",8.0%,2.57,,,,
Calaveras ,Angels City,"4,040","3,993",47,"2,012","1,462",71,129,120,230,"1,713",14.9%,2.33,,,,
Calaveras ,Balance Of County    ,"40,983","40,526",457,"26,258","23,100",295,547,272,"2,044","16,734",36.3%,2.42,,,,
