"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2021",,,,,,,,,,,,,,,,,
,,               POPULATION             ,,,                                    HOUSING UNITS ,,,,,,,,,,,,
County,City,Total,Household,Group Quarters,Total2,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,,,
Alameda ,Alameda             ,"80,884","79,359","1,525","33,272","14,014","3,454","6,009","9,668",127,"32,054",3.7%,2.48,,,,
Alameda ,Albany              ,"17,055","16,212",843,"6,980","4,280",235,833,"1,607",25,"6,454",7.5%,2.51,,,,
Alameda ,Berkeley            ,"116,761","107,604","9,157","51,845","21,156","2,096","10,097","18,278",218,"48,185",7.1%,2.23,,,,
Alameda ,Dublin              ,"64,695","61,790","2,905","23,891","12,806","3,384",773,"6,874",54,"22,313",6.6%,2.77,,,,
Alameda ,Emeryville          ,"12,586","12,513",73,"7,498",419,401,756,"5,886",36,"6,907",7.9%,1.81,,,,
Alameda ,Fremont             ,"234,239","232,588","1,651","78,218","44,774","10,215","2,691","19,812",726,"75,427",3.6%,3.08,,,,
Alameda ,Hayward             ,"158,089","156,164","1,925","50,772","26,315","5,316","2,939","13,880","2,322","48,591",4.3%,3.21,,,,
Alameda ,Livermore           ,"91,216","90,706",510,"33,004","22,558","3,170","1,620","5,114",542,"31,869",3.4%,2.85,,,,
Alameda ,Newark              ,"48,859","48,714",145,"15,100","10,560","1,414",659,"2,467",0,"14,510",3.9%,3.36,,,,
Alameda ,Oakland             ,"435,514","428,177","7,337","178,207","74,459","7,011","33,023","63,158",556,"167,680",5.9%,2.55,,,,
Alameda ,Piedmont            ,"11,296","11,293",3,"4,006","3,729",69,129,79,0,"3,906",2.5%,2.89,,,,
Alameda ,Pleasanton          ,"78,371","77,807",564,"28,602","17,295","2,752","1,619","6,556",380,"27,292",4.6%,2.85,,,,
Alameda ,San Leandro         ,"87,289","86,639",650,"32,640","19,472","1,991","1,922","8,365",890,"30,631",6.2%,2.83,,,,
Alameda ,Union City          ,"72,779","72,261",518,"21,849","13,713","2,847",812,"3,461","1,016","20,761",5.0%,3.48,,,,
