county,city,end year population,end year housing units,end year pop to housing ratio,pct change of pop to housing unit ratio,pop change,housing change,multi-family change,multi-family change pct,additional people per additional housing unit,units needed to get to begin year population to housing unit ratio,pct of change
Alameda,Alameda,78980,32987,2.3942765331797373,-0.012242395914440806,5001,2467,-24,-0.0015492866825898908,2.027158492095663,-403.83991402965694,-0.1636967628819039
Alameda,Albany,19216,6930,2.7728715728715727,0.2683165864031914,2889,-538,-1084,-0.30891992020518666,-5.369888475836431,1859.4339437741166,999999
Alameda,Berkeley,122369,50953,2.401605401055875,0.0692479169161096,19645,5218,2686,0.107573391004846,3.7648524338827136,3528.389110626533,0.6761956900395808
Alameda,Dublin,61874,21937,2.8205315220859735,-0.15101139082934587,38645,14945,5912,4.418535127055306,2.5858146537303446,-3312.736880623359,-0.2216618856221719
Alameda,Emeryville,11871,7170,1.6556485355648536,0.04992346157771206,6131,3530,3168,1.0066730219256435,1.7368271954674221,357.95121951219517,0.10140261175982866
Alameda,Fremont,231252,76279,3.031660089933009,0.09136195323510442,57913,13879,3739,0.21621465332793616,4.172706967360761,6968.998430820531,0.5021254003040948
Alameda,Hayward,158693,49913,3.17939214232765,0.20410450461791352,47350,7745,494,0.030267753201396973,6.113621691413815,10187.468138993918,1.3153606377009577
Alameda,Livermore,90359,32191,2.8069646795688237,0.06305606174114745,33618,10702,2224,0.5290199809705043,3.141282003363857,2029.8376835092786,0.18966900425240876
Alameda,Newark,47178,14147,3.3348413091114724,0.08198913502351565,9317,1863,481,0.20024979184013322,5.001073537305421,1159.9002931776763,0.622598117647706
Alameda,Oakland,431373,172170,2.5055061857466456,0.04151200204135668,59131,17433,10686,0.1341232286973002,3.391900418746056,7147.121391460394,0.4099765612034873
Alameda,Piedmont,11368,3949,2.8787034692327174,0.044826537408743344,766,101,79,0.8315789473684211,7.584158415841584,177.01999622712697,1.7526732299715542
Alameda,Pleasanton,79483,28054,2.8332145148641903,0.084711612068135,28913,8693,3364,0.7612582032133967,3.3260094328770275,2376.499564959462,0.2733808311238309
Alameda,San Leandro,89552,32516,2.754090294009103,0.21869797408265268,21329,2327,425,0.04358974358974359,9.165878813923507,7111.183325271537,3.055944703597566
Alameda,Union City,74058,21501,3.444397934979768,0.04167378491938637,20296,5242,353,0.09832869080779945,3.871804654711942,896.0280495517281,0.17093247797629305
Alameda,Balance Of County,149258,51270,2.911215135556856,0.14049678769161653,29238,4251,288,0.02534095908490981,6.877911079745942,7203.270304949176,1.6944884274168843
Alameda,Incorporated,1507626,550697,2.7376688088004837,0.08185398909519918,350944,93607,32503,0.17455867583954973,3.7491213263965304,45076.74623275889,0.4815531555627131
Alameda,County Total,1656884,601967,2.7524498851265933,0.08681176902776204,380182,97858,32791,0.1659749147120456,3.8850375033211386,52257.82016633483,0.5340168424281595
Alpine,County Total,1161,1778,0.6529808773903262,-0.22616192517714268,48,459,289,0.7467700258397932,0.10457516339869281,-402.11590296495956,-0.8760695053702823
Amador,Amador,186,110,1.690909090909091,-0.24944341372912798,-10,23,-5,-0.45454545454545453,-0.43478260869565216,-27.43877551020408,-1.1929902395740906
Amador,Ione,8016,1759,4.557134735645253,-0.3635677394970565,1500,849,-32,-0.23529411764705882,1.7667844522968197,-639.5156537753223,-0.753257542727117
Amador,Jackson,4692,2336,2.0085616438356166,-0.08325733717178342,1147,718,103,0.23569794050343248,1.5974930362116992,-194.4891396332863,-0.2708762390435742
Amador,Plymouth,991,493,2.0101419878296145,-0.11018375631216822,180,134,0,0.0,1.3432835820895523,-54.32059186189889,-0.4053775512082007
Amador,Sutter Creek,2523,1395,1.8086021505376344,-0.06169523307257334,688,443,188,0.9306930693069307,1.5530474040632054,-86.06485013623978,-0.1942773140772907
Amador,Balance Of County,21512,12128,1.7737467018469657,-0.08000346136695662,4376,3240,22,0.10837438423645321,1.3506172839506172,-970.2819794584498,-0.2994697467464351
Amador,Incorporated,16408,6093,2.6929263088790414,-0.1806224375215751,3505,2167,254,0.30713422007255137,1.6174434702353484,-1100.532511818957,-0.5078599500779681
Amador,County Total,37920,18221,2.0811151967510018,-0.11224041641974303,7881,5407,276,0.26796116504854367,1.4575550212687258,-2045.1326275841402,-0.3782379559060736
Butte,Biggs,1894,692,2.7369942196531793,-0.051313831518063,313,144,-44,-0.9166666666666666,2.173611111111111,-35.509171410499675,-0.24659146812846996
Butte,Chico,92861,39810,2.3326048731474502,-0.051784739081817105,52891,23562,6565,0.7871702637889688,2.244758509464392,-2061.5504628471353,-0.08749471449143262
Butte,Gridley,6921,2517,2.7497020262216925,0.07470539137578569,2290,707,-4,-0.014598540145985401,3.239038189533239,188.03347009285255,0.2659596465245439
Butte,Oroville,18091,7333,2.4670666848493115,-0.0017565260883180627,6206,2524,375,0.21210407239819004,2.458795562599049,-12.88060580563706,-0.005103251111583621
Butte,Paradise,26423,13091,2.018409594377817,-0.0757796152825326,1022,1460,438,0.3945945945945946,0.7,-992.0309436636353,-0.6794732490846818
Butte,Balance Of County,81706,35910,2.275299359509886,-0.05278890042055397,-16946,-5159,-3654,-0.7574626865671642,3.284745105640628,-1895.6494141020967,999999
Butte,Incorporated,146190,63443,2.3042731270589347,-0.032496813019271736,62722,28397,7330,0.6351819757365684,2.2087544458921715,-2061.695308381655,-0.07260257451074603
Butte,County Total,227896,99353,2.29380089176975,-0.04133178740910106,45776,23238,3676,0.22463945245661207,1.9698769257251054,-4106.437074456404,-0.17671215571290144
Calaveras,Angels City,3826,1972,1.9401622718052738,-0.07650680400903126,1244,743,18,0.07792207792207792,1.6742934051144012,-150.87141750580952,-0.20305708950983783
Calaveras,Balance Of County,41321,26102,1.5830587694429545,-0.03539755971255383,11905,8178,17,0.02119700748129676,1.4557348985081928,-923.9471036170789,-0.11297959202947896
Calaveras,Incorporated,3826,1972,1.9401622718052738,-0.07650680400903126,1244,743,18,0.07792207792207792,1.6742934051144012,-150.87141750580952,-0.20305708950983783
Calaveras,County Total,45147,28074,1.6081427655481941,-0.03741613886666157,13149,8921,35,0.03388189738625363,1.4739378993386392,-1050.420682542659,-0.11774696587183713
Colusa,Colusa,6282,2390,2.628451882845188,0.010041501798637439,1348,494,69,0.16747572815533981,2.7287449392712553,23.99918929874343,0.04858135485575593
Colusa,Williams,5438,1595,3.4094043887147336,0.13399431997303285,3141,831,197,1.304635761589404,3.779783393501805,213.72094035698728,0.25718524712032165
Colusa,Balance Of County,10343,4166,2.482717234757561,-0.00213653821940134,1299,531,149,0.6367521367521367,2.446327683615819,-8.900818222025691,-0.01676236953300507
Colusa,Incorporated,11720,3985,2.941028858218319,0.08188864097092081,4489,1325,266,0.4724689165186501,3.3879245283018866,326.32623426911914,0.24628395039178802
Colusa,County Total,22063,8151,2.7067844436265487,0.046955949163079776,5788,1856,415,0.520702634880803,3.1185344827586206,382.73794162826425,0.20621656337729755
Contra Costa,Antioch,113266,35882,3.15662449138844,0.16596405564220015,51071,12909,392,0.07175544572579169,3.9562320861414517,5955.122244553422,0.46131553525086544
Contra Costa,Brentwood,62140,20154,3.0832589064205616,0.07137437605093681,54577,17526,1020,2.7642276422764227,3.1140591121761956,1438.4791749305805,0.08207686722187496
Contra Costa,Clayton,11631,4112,2.8285505836575875,-0.08730245619576818,4314,1751,204,68.0,2.4637350085665335,-358.9876998769987,-0.20501867497258636
Contra Costa,Concord,129493,47290,2.7382744766335376,0.0748369403690292,18185,3599,1180,0.0858743905101521,5.052792442345096,3539.0389100513894,0.9833395137680992
Contra Costa,Danville,45103,16196,2.7848234131884415,0.019957364582465623,13797,4730,491,0.9979674796747967,2.9169133192389007,323.22947677761385,0.06833604160203252
Contra Costa,El Cerrito,25192,10842,2.3235565393838775,0.047627420420095365,2323,531,325,0.12433052792654935,4.374764595103578,516.376492194674,0.9724604372781055
Contra Costa,Hercules,25964,8764,2.9625741670470105,-0.00502292517976687,9135,3112,1024,1.508100147275405,2.9354113110539846,-44.02091627547679,-0.014145538648932131
Contra Costa,Lafayette,26077,9943,2.6226490998692547,0.04048434288230723,2711,673,367,0.23257287705956908,4.028231797919762,402.5358212787812,0.5981215769372678
Contra Costa,Martinez,38406,15245,2.5192522138406033,0.02726251071130031,6596,2274,294,0.0932149651236525,2.9006156552330693,415.6169757937755,0.18276911864282125
Contra Costa,Moraga,16886,5800,2.9113793103448278,0.03565485318890565,899,113,207,0.2409778812572759,7.95575221238938,206.7981484956527,1.8300721105809974
Contra Costa,Oakley,40949,12705,3.22306178669815,0,40949,12705,506,0,3.22306178669815,0,0.0
Contra Costa,Orinda,19331,7049,2.7423748049368704,0.06699175952206674,2689,574,72,0.2737642585551331,4.684668989547038,472.2249128710491,0.8226914858380647
Contra Costa,Pinole,19458,7163,2.7164595839731955,0.010659877290371027,1998,667,527,0.5654506437768241,2.995502248875562,76.35670103092787,0.11447781264007176
Contra Costa,Pittsburg,72006,22999,3.130831775294578,0.0996416097359767,24399,6278,-152,-0.032450896669513236,3.886428798980567,2291.6573823177278,0.36502984745424144
Contra Costa,Pleasant Hill,34969,14332,2.4399246441529443,0.054676605831491566,3386,680,93,0.023140084598158746,4.979411764705882,783.6251147769372,1.1523898746719663
Contra Costa,Richmond,110128,39664,2.7765227914481647,0.09428935090707494,24109,5762,3253,0.27685106382978725,4.184137452273516,3739.8928143782196,0.6490615783370739
Contra Costa,San Pablo,31737,9530,3.3302203567681006,0.24654921296149146,6579,113,576,0.15421686746987953,58.2212389380531,2349.6139995230146,20.793044243566502
Contra Costa,San Ramon,83179,28599,2.9084583377041153,0.1147593623055939,47876,15068,4185,1.2070954715892703,3.1773294398725778,3282.003002577683,0.21781278222575545
Contra Costa,Walnut Creek,69498,33679,2.0635410790106596,0.021021687610336362,8929,3710,2175,0.15595869783450453,2.4067385444743934,707.9894170285133,0.19083272696186343
Contra Costa,Balance Of County,172466,63975,2.6958343102774522,0.04059864043966507,19625,4978,1819,0.2213433925529326,3.9423463238248293,2597.29802212757,0.5217553278681338
Contra Costa,Incorporated,975413,349948,2.7873084001051587,0.10129109663560246,324522,92775,16739,0.2333026704577131,3.497946645109135,35446.6166854358,0.3820707807646004
Contra Costa,County Total,1147879,413923,2.773170372267306,0.09090253542194919,344147,97753,18558,0.23207363129329966,3.5205773735844423,37626.65016945946,0.3849155541974104
Del Norte,Crescent City,6821,1898,3.5937829293993677,0.45966662817385284,2441,119,154,0.22781065088757396,20.51260504201681,872.4472602739727,7.331489582134224
Del Norte,Balance Of County,20371,9424,2.161608658743633,-0.17160993119845677,1291,2112,289,0.5768463073852296,0.6112689393939394,-1617.2519916142558,-0.7657443142112953
Del Norte,Incorporated,6821,1898,3.5937829293993677,0.45966662817385284,2441,119,154,0.22781065088757396,20.51260504201681,872.4472602739727,7.331489582134224
Del Norte,County Total,27192,11322,2.4016958134605195,-0.06931727876514997,3732,2231,443,0.37638062871707734,1.6727924697445091,-784.8102301790282,-0.3517750919672919
El Dorado,Placerville,10784,4696,2.2964224872231687,-0.02167856868238173,2498,1166,245,0.24305555555555555,2.142367066895369,-101.80255853246445,-0.08730922687175338
El Dorado,South Lake Tahoe,22491,15779,1.4253754990810572,-0.07118818817408737,905,1713,445,0.09218976590014502,0.5283129013426737,-1123.2784211989251,-0.6557375488610188
El Dorado,Balance Of County,156317,71270,2.193307141854918,0.0006708561535472501,60194,27415,2306,0.9734065006331786,2.1956593105963886,47.811918063314806,0.0017440057655777788
El Dorado,Incorporated,33275,20475,1.6251526251526252,-0.042709373587788126,3403,2879,690,0.11825192802056556,1.182007641542202,-874.4744242099625,-0.3037424189683788
El Dorado,County Total,189592,91745,2.066510436536051,0.0078902562449055,63597,30294,2996,0.3651877133105802,2.0993265993265995,723.8915591888581,0.023895542324845122
Fresno,Clovis,113895,40683,2.799572302927513,0.050778404659794905,63572,21795,2745,0.41080514815923375,2.916815783436568,2065.8178367744367,0.09478402554597094
Fresno,Coalinga,17120,4491,3.81206858160766,0.4961394347931669,8908,1268,203,0.2317351598173516,7.025236593059937,2228.1622016561128,1.7572257110852625
Fresno,Firebaugh,8078,2133,3.787154242850445,0.06286582159925569,3649,890,250,0.7836990595611285,4.1,134.0927974712124,0.15066606457439596
Fresno,Fowler,6520,2042,3.1929480901077376,0.08752150623587056,3126,886,80,0.26229508196721313,3.528216704288939,178.7189157336477,0.20171435184384615
Fresno,Fresno,531580,179679,2.958498210697967,0.08081089759261782,177489,50321,9740,0.19423284010688788,3.5271357882395025,14520.021268543962,0.2885479475476235
Fresno,Huron,7289,1673,4.356843992827256,-0.12058667203109098,2523,711,608,1.782991202346041,3.548523206751055,-201.74150230801513,-0.28374332251478923
Fresno,Kerman,15096,4215,3.5814946619217083,0.14912861032289762,9648,2467,345,0.6307129798903108,3.910822861775436,628.5770925110132,0.2547941193802242
