county,city,end year population,pop change,housing change,additional people per additional housing unit,units needed to get to begin year population to housing unit ratio,pct of change
Alameda,Alameda,78863,-1065,124,-8.588709677419354,-561.8827820038034,-4.531312758095189
Alameda,Albany,19053,65,188,0.34574468085106386,-164.92068674952603,-0.8772376954762022
Alameda,Berkeley,121874,636,534,1.1910112359550562,-269.50797604711397,-0.5046965843578913
Alameda,Dublin,63241,3555,1006,3.533797216699801,240.68607378614752,0.23925057036396374
Alameda,Emeryville,11994,140,1,140.0,83.66846634047579,83.66846634047579
Alameda,Fremont,235439,3775,516,7.315891472868217,718.5695705849851,1.3925766871802037
Alameda,Hayward,162030,990,248,3.9919354838709675,57.31762295081967,0.23111944738233736
Alameda,Livermore,91411,1763,343,5.139941690962099,283.31652686061034,0.8259957051329747
Alameda,Newark,47467,2045,540,3.787037037037037,72.61756417594995,0.13447697069620362
Alameda,Oakland,428827,2753,534,5.155430711610487,574.9949351521097,1.0767695414833516
Alameda,Piedmont,11318,35,4,8.75,8.23743685190109,2.0593592129752727
Alameda,Pleasanton,79201,3285,878,3.7414578587699316,297.9465725275304,0.3393468935393285
Alameda,San Leandro,87598,-676,87,-7.7701149425287355,-335.9530779164873,-3.861529631223992
Alameda,Union City,72991,-461,2,-230.5,-136.93218700648043,-68.46609350324022
Alameda,Balance Of County,148895,-1997,106,-18.839622641509433,-783.1366805397238,-7.388081891884187
Alameda,Incorporated,1511307,16840,5005,3.364635364635365,1144.885196528261,0.2287482910146376
Alameda,County Total,1660202,14843,5111,2.904128350616318,274.0381880185414,0.053617332815210604
Alpine,County Total,1154,3,-2,-1.5,6.639443961772372,999999
Amador,Amador,186,-7,0,0,-3.989637305699482,999999
Amador,Ione,8058,286,0,0,64.72902727740608,999999
Amador,Jackson,4679,-159,14,-11.357142857142858,-90.31211244315834,-6.45086517451131
Amador,Plymouth,1002,-7,8,-0.875,-11.36471754212091,-1.4205896927651138
Amador,Sutter Creek,2479,-103,11,-9.363636363636363,-66.20991479473277,-6.019083163157524
Amador,Balance Of County,21690,-298,-1,298.0,-163.38248135346552,999999
Amador,Incorporated,16404,10,33,0.30303030303030304,-29.303525680126874,-0.8879856266705114
Amador,County Total,38094,-288,32,-9.0,-168.4814756917305,-5.265046115366578
Butte,Biggs,1913,8,1,8.0,1.9018372703412072,1.9018372703412072
Butte,Chico,92348,-1035,469,-2.20682302771855,-905.0315582065258,-1.9297048149392875
Butte,Gridley,6937,233,16,14.5625,70.92318019093078,4.432698761933174
Butte,Oroville,18144,107,14,7.642857142857143,29.418140488994844,2.1012957492139175
Butte,Paradise,26572,731,27,27.074074074074073,342.559382376843,12.687384532475667
Butte,Balance Of County,81707,1173,-45,-26.066666666666666,568.6945265353763,999999
Butte,Incorporated,145914,44,527,0.08349146110056926,-508.02211558236786,-0.9639888341221402
Butte,County Total,227621,1217,482,2.524896265560166,49.46590607939788,0.10262636116057652
Calaveras,Angels City,4121,101,19,5.315789473684211,30.0679104477612,1.5825216025137474
Calaveras,Balance Of County,41036,-112,147,-0.7619047619047619,-217.6464469719063,-1.4805880746388185
Calaveras,Incorporated,4121,101,19,5.315789473684211,30.0679104477612,1.5825216025137474
Calaveras,County Total,45157,-11,166,-0.06626506024096386,-172.79658165072618,-1.040943262956182
Colusa,Colusa,6241,-99,3,-33.0,-40.273343848580446,-13.424447949526815
Colusa,Williams,5465,34,36,0.9444444444444444,-26.24010311176579,-0.7288917531046053
Colusa,Balance Of County,10392,120,0,0,48.66822429906542,999999
Colusa,Incorporated,11706,-65,39,-1.6666666666666667,-60.78999235409056,-1.5587177526689886
Colusa,County Total,22098,55,39,1.4102564102564104,-18.75956085832237,-0.4810143809826249
