county,city,pop change,housing change,units needed to get to 1990 ratio,pct of change
Alameda,Alameda,5949,2343,111.25701888373715,0.04748485654448875
Alameda,Albany,2661,-726,1943.1463220432413,-2.67651008545901
Alameda,Berkeley,18514,4684,3558.8428604805104,0.7597871179505786
Alameda,Dublin,36457,13939,-2965.3315682982484,-0.21273632027392556
Alameda,Emeryville,6114,3529,348.1707317073174,0.09865988430357533
Alameda,Fremont,58325,13363,7633.313582055973,0.5712275373835196
Alameda,Hayward,49697,7497,11324.32775297953,1.5105145728930947
Alameda,Livermore,32907,10359,2103.567156024743,0.20306662380777515
Alameda,Newark,7561,1323,1130.1661604289375,0.8542450192206632
Alameda,Oakland,53832,16899,5478.38402437124,0.3241839176502302
Alameda,Piedmont,681,97,150.16921335597058,1.5481362201646451
Alameda,Pleasanton,25346,7815,1888.8541823215346,0.24169599261951819
Alameda,San Leandro,20051,2320,6552.662283980477,2.824423398267447
Alameda,Union City,19690,5240,714.7581935195858,0.1364042354045011
Alameda,Balance Of County,30872,4145,7949.405665722381,1.9178300761694527
Alameda,Incorporated,337785,88682,44801.658991840464,0.5051945038659532
Alameda,County Total,368657,92827,52738.14489129023,0.5681336776077028
Alpine,County Total,38,461,-415.9667565139263,-0.9023140054532024
Amador,Amador,-3,23,-24.331632653061224,-1.0578970718722271
Amador,Ione,1256,849,-673.5917740945365,-0.7933943157768393
Amador,Jackson,1293,704,-113.85218617771511,-0.16172185536607261
Amador,Plymouth,198,126,-38.35265104808879,-0.30438611942927607
Amador,Sutter Creek,747,432,-44.45558583106265,-0.10290644868301539
Amador,Balance Of County,4852,3241,-724.3930905695611,-0.2235091300739158
Amador,Incorporated,3491,2134,-1071.7922963651863,-0.5022456871439486
Amador,County Total,8343,5375,-1816.0532307999597,-0.3378703685209227
Butte,Biggs,324,143,-30.696394686907013,-0.21466010270564345
Butte,Chico,53413,23093,-1380.3549161871415,-0.05977373733110213
Butte,Gridley,2073,691,119.22025480457785,0.1725329302526452
Butte,Oroville,6152,2510,-20.730500631047107,-0.008259163598026736
Butte,Paradise,440,1433,-1231.5260422817998,-0.8594040769586879
Butte,Balance Of County,-18118,-5114,-2428.555062238982,0.47488366488834216
Butte,Incorporated,62402,27870,-1669.0548234053786,-0.05988714831020375
Butte,County Total,44284,22756,-4248.001647265541,-0.1866761138717499
Calaveras,Angels City,1438,724,-39.529821843532204,-0.05459920144134282
Calaveras,Balance Of County,11732,8031,-882.3608920315473,-0.10986936770409007
Calaveras,Incorporated,1438,724,-39.529821843532204,-0.05459920144134282
Calaveras,County Total,13170,8755,-871.8507406712915,-0.09958317997387682
Colusa,Colusa,1406,491,49.28698824483183,0.10038083145586932
Colusa,Williams,3134,795,247.39268611232046,0.31118576869474274
Colusa,Balance Of County,1228,531,-37.43741707209199,-0.07050361030525798
Colusa,Incorporated,4540,1286,384.08712487899334,0.2986680597814878
Colusa,County Total,5768,1817,414.0021505376344,0.22784928483083897
Contra Costa,Antioch,52046,12887,6337.258509526491,0.491755917554628
Contra Costa,Brentwood,53492,17027,1560.4621182070587,0.09164633336507069
